table_number,table_title,2012_naics_code,data_item,kind_of_business,type_of_operation,year,estimate_value,estimate_flag
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",1992,1767130,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",1993,1848215,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",1994,1974899,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",1995,2158980,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",1996,2284343,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",1997,2377845,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",1998,2427120,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",1999,2599159,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2000,2814554,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2001,2785152,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2002,4194061,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2002,2835528,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2002,1358533,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2003,4409973,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2003,2978282,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2003,1431691,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2004,4892121,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2004,3330011,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2004,1562110,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2005,5309113,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2005,3638496,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2005,1670617,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2006,5664635,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2006,3941257,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2006,1723378,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2007,5989445,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2007,4223473,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2007,1765972,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2008,6300283,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2008,4525024,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2008,1775259,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2009,5359303,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2009,3830607,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2009,1528696,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2010,6063081,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2010,4339199,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2010,1723882,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2011,6857633,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2011,4887628,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2011,1970005,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2012,7303417,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2012,5211528,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2012,2091889,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2013,7580962,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2013,5401465,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2013,2179497,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2014,7873529,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2014,5623993,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2014,2249536,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2015,7536760,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2015,5379327,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2015,2157433,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Merchant Wholesalers,2016,7507129,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,"Merchant Wholesalers, except manufacturers' sales branches and offices",2016,5336543,
1,Table 1. Estimated Sales of U.S. Merchant Wholesalers: 1992 through 2022,42,Sales,Wholesale Trade,Manufacturers' sales branches and offices,2016,2170586,
