table_number,table_title,source_url,2012_naics_code,data_item,year,estimate_value,estimate_flag,estimate_text
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,Total sales,2022,778513.0,,778513
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,Sales on own account,2022,13104.0,,13104
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,Sales made on the account of others,2022,765409.0,,765409
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,Amount,2022,34204.0,,34204
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,As a percent of sales on the account of others,2022,4.5,,4.5
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,Amount,2022,28140.0,,28140
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,As a percent of total sales,2022,3.6,,3.6
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,Total sales,2021,718309.0,,718309
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,Sales on own account,2021,12216.0,,12216
6,"Table 6. Estimated Sales and Commissions of Electronic Markets, Agents, Brokers, and Commission Merchants for the United States: 2004 through 2022",https://www2.census.gov/programs-surveys/awts/tables/2022/2022_awts_agbr_table6.xlsx,4251,Sales made on the account of others,2021,706093.0,,706093
